,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,市环保局茂港分局,77.0,0.667,23.25,16.542,132.0,47.0,88.0,良,O3,国控点,111.0286,21.4689,茂名,90.0,72.0,60.0,27.0,26.6,26.0,670.0,630.6,580.0,42.0,41.2,40.0,0.0,0.0,0.0
1,2017-10-31,茂石化七小,75.0,0.883,19.957,15.913,129.0,50.0,89.0,良,O3,国控点,110.9294,21.6533,茂名,90.0,72.0,60.0,27.0,26.6,26.0,670.0,630.6,580.0,42.0,41.2,40.0,0.0,0.0,0.0
2,2017-10-31,健康路,103.0,0.963,14.083,25.0,163.0,56.0,83.0,轻度污染,O3,国控点,110.9067,21.6669,茂名,90.0,72.0,60.0,27.0,26.6,26.0,670.0,630.6,580.0,42.0,41.2,40.0,0.0,0.0,0.0
3,2017-10-31,高岭,84.0,0.838,23.083,35.833,125.0,62.0,112.0,良,PM2.5,国控点,110.8592,21.6828,茂名,90.0,72.0,60.0,27.0,26.6,26.0,670.0,630.6,580.0,42.0,41.2,40.0,0.0,0.0,0.0
4,2017-11-01,市环保局茂港分局,81.0,0.674,31.0,17.391,137.0,45.0,88.0,良,O3,国控点,111.0286,21.4689,茂名,165.0,88.0,40.0,28.0,27.4,26.0,680.0,640.8,581.0,39.0,37.2,36.0,0.0,0.0,0.0
5,2017-11-01,茂石化七小,93.0,1.004,25.25,17.625,151.0,56.0,98.0,良,O3,国控点,110.9294,21.6533,茂名,165.0,88.0,40.0,28.0,27.4,26.0,680.0,640.8,581.0,39.0,37.2,36.0,0.0,0.0,0.0
6,2017-11-01,健康路,140.0,1.088,20.292,31.0,204.0,61.0,93.0,轻度污染,O3,国控点,110.9067,21.6669,茂名,165.0,88.0,40.0,28.0,27.4,26.0,680.0,640.8,581.0,39.0,37.2,36.0,0.0,0.0,0.0
7,2017-11-01,高岭,102.0,0.908,27.917,29.583,162.0,62.0,112.0,轻度污染,O3,国控点,110.8592,21.6828,茂名,165.0,88.0,40.0,28.0,27.4,26.0,680.0,640.8,581.0,39.0,37.2,36.0,0.0,0.0,0.0
8,2017-11-02,市环保局茂港分局,116.0,0.7709999999999999,32.25,16.333,177.0,55.0,95.0,轻度污染,O3,国控点,111.0286,21.4689,茂名,140.0,83.0,15.0,30.0,29.2,28.0,682.0,644.8,590.0,34.0,30.8,29.0,0.0,0.0,0.0
9,2017-11-02,茂石化七小,101.0,1.092,26.125,16.875,161.0,61.0,99.0,轻度污染,O3,国控点,110.9294,21.6533,茂名,140.0,83.0,15.0,30.0,29.2,28.0,682.0,644.8,590.0,34.0,30.8,29.0,0.0,0.0,0.0
10,2017-11-02,健康路,138.0,1.279,23.217,29.696,201.0,66.0,94.0,轻度污染,O3,国控点,110.9067,21.6669,茂名,140.0,83.0,15.0,30.0,29.2,28.0,682.0,644.8,590.0,34.0,30.8,29.0,0.0,0.0,0.0
11,2017-11-02,高岭,99.0,0.925,31.417,30.042,152.0,74.0,128.0,良,PM2.5,国控点,110.8592,21.6828,茂名,140.0,83.0,15.0,30.0,29.2,28.0,682.0,644.8,590.0,34.0,30.8,29.0,0.0,0.0,0.0
12,2017-11-03,市环保局茂港分局,81.0,0.757,25.0,18.739,130.0,60.0,96.0,良,PM2.5,国控点,111.0286,21.4689,茂名,45.0,45.0,45.0,31.0,30.4,30.0,670.0,631.0,568.0,32.0,30.0,29.0,0.0,0.0,0.0
13,2017-11-03,茂石化七小,86.0,1.229,27.792,29.5,120.0,63.0,98.0,良,PM2.5,国控点,110.9294,21.6533,茂名,45.0,45.0,45.0,31.0,30.4,30.0,670.0,631.0,568.0,32.0,30.0,29.0,0.0,0.0,0.0
14,2017-11-03,健康路,93.0,1.179,23.458,42.875,144.0,69.0,98.0,良,PM2.5,国控点,110.9067,21.6669,茂名,45.0,45.0,45.0,31.0,30.4,30.0,670.0,631.0,568.0,32.0,30.0,29.0,0.0,0.0,0.0
15,2017-11-03,高岭,103.0,0.8959999999999999,27.667,45.417,118.0,77.0,130.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,45.0,45.0,45.0,31.0,30.4,30.0,670.0,631.0,568.0,32.0,30.0,29.0,0.0,0.0,0.0
16,2017-11-04,市环保局茂港分局,78.0,0.688,23.167,17.792,114.0,57.0,98.0,良,PM2.5,国控点,111.0286,21.4689,茂名,75.0,65.0,55.0,27.0,26.6,26.0,503.0,363.8,269.0,38.0,37.6,37.0,0.0,0.0,0.0
17,2017-11-04,茂石化七小,69.0,0.8959999999999999,21.833,18.5,111.0,49.0,86.0,良,PM10,国控点,110.9294,21.6533,茂名,75.0,65.0,55.0,27.0,26.6,26.0,503.0,363.8,269.0,38.0,37.6,37.0,0.0,0.0,0.0
18,2017-11-04,健康路,86.0,0.942,20.375,33.792,130.0,64.0,93.0,良,PM2.5,国控点,110.9067,21.6669,茂名,75.0,65.0,55.0,27.0,26.6,26.0,503.0,363.8,269.0,38.0,37.6,37.0,0.0,0.0,0.0
19,2017-11-04,高岭,108.0,0.954,30.292,50.167,86.0,81.0,140.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,75.0,65.0,55.0,27.0,26.6,26.0,503.0,363.8,269.0,38.0,37.6,37.0,0.0,0.0,0.0
20,2017-11-05,市环保局茂港分局,86.0,0.763,22.0,16.625,143.0,62.0,109.0,良,O3,国控点,111.0286,21.4689,茂名,105.0,58.0,25.0,28.0,27.6,27.0,625.0,581.6,505.0,40.0,38.6,38.0,0.0,0.0,0.0
21,2017-11-05,茂石化七小,85.0,1.108,22.833,24.542,131.0,63.0,103.0,良,PM2.5,国控点,110.9294,21.6533,茂名,105.0,58.0,25.0,28.0,27.6,27.0,625.0,581.6,505.0,40.0,38.6,38.0,0.0,0.0,0.0
22,2017-11-05,健康路,97.0,1.079,17.792,45.0,156.0,70.0,101.0,良,O3,国控点,110.9067,21.6669,茂名,105.0,58.0,25.0,28.0,27.6,27.0,625.0,581.6,505.0,40.0,38.6,38.0,0.0,0.0,0.0
23,2017-11-05,高岭,109.0,0.988,23.583,49.25,125.0,82.0,136.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,105.0,58.0,25.0,28.0,27.6,27.0,625.0,581.6,505.0,40.0,38.6,38.0,0.0,0.0,0.0
24,2017-11-06,市环保局茂港分局,93.0,0.838,19.0,18.375,101.0,69.0,107.0,良,PM2.5,国控点,111.0286,21.4689,茂名,115.0,58.0,10.0,28.0,26.2,25.0,333.0,241.2,162.0,62.0,51.4,47.0,0.0,0.0,0.0
25,2017-11-06,茂石化七小,113.0,1.4,25.542,34.125,86.0,85.0,120.0,轻度污染,PM2.5,国控点,110.9294,21.6533,茂名,115.0,58.0,10.0,28.0,26.2,25.0,333.0,241.2,162.0,62.0,51.4,47.0,0.0,0.0,0.0
26,2017-11-06,健康路,113.0,1.247,20.118,45.941,105.0,85.0,110.0,轻度污染,PM2.5,国控点,110.9067,21.6669,茂名,115.0,58.0,10.0,28.0,26.2,25.0,333.0,241.2,162.0,62.0,51.4,47.0,0.0,0.0,0.0
27,2017-11-06,高岭,123.0,1.096,22.167,50.69600000000001,85.0,93.0,136.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,115.0,58.0,10.0,28.0,26.2,25.0,333.0,241.2,162.0,62.0,51.4,47.0,0.0,0.0,0.0
28,2017-11-07,市环保局茂港分局,37.0,0.5579999999999999,11.917,10.542,74.0,15.0,28.0,优,O3,国控点,111.0286,21.4689,茂名,15.0,13.0,10.0,21.0,21.0,21.0,61.0,43.8,27.0,90.0,88.8,88.0,14.0,8.4,2.0
29,2017-11-07,茂石化七小,37.0,0.87,16.13,9.87,74.0,21.0,31.0,优,O3,国控点,110.9294,21.6533,茂名,15.0,13.0,10.0,21.0,21.0,21.0,61.0,43.8,27.0,90.0,88.8,88.0,14.0,8.4,2.0
30,2017-11-07,健康路,54.0,0.967,11.583,27.25,68.0,33.0,57.0,良,PM10,国控点,110.9067,21.6669,茂名,15.0,13.0,10.0,21.0,21.0,21.0,61.0,43.8,27.0,90.0,88.8,88.0,14.0,8.4,2.0
31,2017-11-07,高岭,64.0,0.921,14.125,30.5,44.0,46.0,64.0,良,PM2.5,国控点,110.8592,21.6828,茂名,15.0,13.0,10.0,21.0,21.0,21.0,61.0,43.8,27.0,90.0,88.8,88.0,14.0,8.4,2.0
32,2017-11-08,市环保局茂港分局,23.0,0.463,11.417,10.625,45.0,9.0,16.0,优,O3,国控点,111.0286,21.4689,茂名,20.0,12.0,10.0,25.0,23.8,23.0,281.0,188.8,155.0,81.0,78.0,73.0,0.0,0.0,0.0
33,2017-11-08,茂石化七小,27.0,0.8,19.0,15.125,36.0,13.0,27.0,优,PM10,国控点,110.9294,21.6533,茂名,20.0,12.0,10.0,25.0,23.8,23.0,281.0,188.8,155.0,81.0,78.0,73.0,0.0,0.0,0.0
34,2017-11-08,健康路,27.0,1.029,14.0,27.0,41.0,19.0,24.0,优,SO2,国控点,110.9067,21.6669,茂名,20.0,12.0,10.0,25.0,23.8,23.0,281.0,188.8,155.0,81.0,78.0,73.0,0.0,0.0,0.0
35,2017-11-08,高岭,28.0,1.035,12.5,27.826,32.0,19.0,26.0,优,SO2,国控点,110.8592,21.6828,茂名,20.0,12.0,10.0,25.0,23.8,23.0,281.0,188.8,155.0,81.0,78.0,73.0,0.0,0.0,0.0
36,2017-11-09,市环保局茂港分局,84.0,0.588,23.0,14.0,140.0,25.0,48.0,良,O3,国控点,111.0286,21.4689,茂名,120.0,104.0,95.0,29.0,28.2,27.0,622.0,586.4,531.0,65.0,63.4,62.0,0.0,0.0,0.0
37,2017-11-09,茂石化七小,53.0,0.7879999999999999,23.875,12.417,102.0,32.0,55.0,良,PM10,国控点,110.9294,21.6533,茂名,120.0,104.0,95.0,29.0,28.2,27.0,622.0,586.4,531.0,65.0,63.4,62.0,0.0,0.0,0.0
38,2017-11-09,健康路,59.0,1.052,18.417,22.913,110.0,32.0,44.0,良,O3,国控点,110.9067,21.6669,茂名,120.0,104.0,95.0,29.0,28.2,27.0,622.0,586.4,531.0,65.0,63.4,62.0,0.0,0.0,0.0
39,2017-11-09,高岭,57.0,1.008,20.875,24.917,102.0,38.0,64.0,良,PM10,国控点,110.8592,21.6828,茂名,120.0,104.0,95.0,29.0,28.2,27.0,622.0,586.4,531.0,65.0,63.4,62.0,0.0,0.0,0.0
40,2017-11-10,市环保局茂港分局,106.0,0.821,35.958,15.875,166.0,61.0,93.0,轻度污染,O3,国控点,111.0286,21.4689,茂名,150.0,121.0,85.0,30.0,29.4,29.0,610.0,563.4,494.0,62.0,60.2,59.0,0.0,0.0,0.0
41,2017-11-10,茂石化七小,108.0,1.242,33.792,24.333,141.0,81.0,121.0,轻度污染,PM2.5,国控点,110.9294,21.6533,茂名,150.0,121.0,85.0,30.0,29.4,29.0,610.0,563.4,494.0,62.0,60.2,59.0,0.0,0.0,0.0
42,2017-11-10,健康路,103.0,1.392,30.583,34.125,163.0,77.0,105.0,轻度污染,PM2.5,国控点,110.9067,21.6669,茂名,150.0,121.0,85.0,30.0,29.4,29.0,610.0,563.4,494.0,62.0,60.2,59.0,0.0,0.0,0.0
43,2017-11-10,高岭,107.0,1.233,31.333,26.208,159.0,80.0,133.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,150.0,121.0,85.0,30.0,29.4,29.0,610.0,563.4,494.0,62.0,60.2,59.0,0.0,0.0,0.0
44,2017-11-11,市环保局茂港分局,95.0,0.8170000000000001,29.667,17.0,154.0,68.0,100.0,良,O3,国控点,111.0286,21.4689,茂名,125.0,115.0,95.0,31.0,30.2,29.0,616.0,578.8,517.0,63.0,58.6,57.0,1.0,0.2,0.0
45,2017-11-11,茂石化七小,118.0,1.067,23.958,22.208,134.0,89.0,125.0,轻度污染,PM2.5,国控点,110.9294,21.6533,茂名,125.0,115.0,95.0,31.0,30.2,29.0,616.0,578.8,517.0,63.0,58.6,57.0,1.0,0.2,0.0
46,2017-11-11,健康路,109.0,1.238,22.708,33.333,148.0,82.0,113.0,轻度污染,PM2.5,国控点,110.9067,21.6669,茂名,125.0,115.0,95.0,31.0,30.2,29.0,616.0,578.8,517.0,63.0,58.6,57.0,1.0,0.2,0.0
47,2017-11-11,高岭,115.0,1.221,24.0,24.292,132.0,87.0,134.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,125.0,115.0,95.0,31.0,30.2,29.0,616.0,578.8,517.0,63.0,58.6,57.0,1.0,0.2,0.0
48,2017-11-12,市环保局茂港分局,87.0,0.754,28.833,14.125,144.0,54.0,83.0,良,O3,国控点,111.0286,21.4689,茂名,110.0,97.0,80.0,30.0,29.4,29.0,610.0,561.4,496.0,61.0,57.4,55.0,0.0,0.0,0.0
49,2017-11-12,茂石化七小,109.0,1.008,25.958,13.708,125.0,82.0,115.0,轻度污染,PM2.5,国控点,110.9294,21.6533,茂名,110.0,97.0,80.0,30.0,29.4,29.0,610.0,561.4,496.0,61.0,57.4,55.0,0.0,0.0,0.0
50,2017-11-12,健康路,105.0,1.213,24.875,24.125,141.0,78.0,101.0,轻度污染,PM2.5,国控点,110.9067,21.6669,茂名,110.0,97.0,80.0,30.0,29.4,29.0,610.0,561.4,496.0,61.0,57.4,55.0,0.0,0.0,0.0
51,2017-11-12,高岭,115.0,1.25,31.0,21.542,128.0,86.0,136.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名,110.0,97.0,80.0,30.0,29.4,29.0,610.0,561.4,496.0,61.0,57.4,55.0,0.0,0.0,0.0
52,2017-11-13,市环保局茂港分局,36.0,0.617,19.0,11.208,72.0,19.0,32.0,优,O3,国控点,111.0286,21.4689,茂名,90.0,59.0,40.0,25.0,24.8,24.0,244.0,161.6,101.0,81.0,78.6,77.0,1.0,0.6,0.0
53,2017-11-13,茂石化七小,47.0,0.879,18.125,9.208,63.0,33.0,45.0,优,PM2.5,国控点,110.9294,21.6533,茂名,90.0,59.0,40.0,25.0,24.8,24.0,244.0,161.6,101.0,81.0,78.6,77.0,1.0,0.6,0.0
54,2017-11-13,健康路,50.0,1.063,17.292,16.833,75.0,34.0,39.0,优,PM2.5,国控点,110.9067,21.6669,茂名,90.0,59.0,40.0,25.0,24.8,24.0,244.0,161.6,101.0,81.0,78.6,77.0,1.0,0.6,0.0
55,2017-11-13,高岭,60.0,1.052,18.875,17.913,67.0,42.0,55.0,良,PM2.5,国控点,110.8592,21.6828,茂名,90.0,59.0,40.0,25.0,24.8,24.0,244.0,161.6,101.0,81.0,78.6,77.0,1.0,0.6,0.0
56,2017-11-14,市环保局茂港分局,33.0,0.667,25.958,12.958,59.0,19.0,28.0,优,NO2,国控点,111.0286,21.4689,茂名,95.0,89.0,75.0,26.0,25.4,24.0,360.0,227.4,115.0,83.0,79.0,77.0,4.0,2.4,0.0
57,2017-11-14,茂石化七小,29.0,0.913,20.783,7.0,49.0,18.0,28.0,优,PM10,国控点,110.9294,21.6533,茂名,95.0,89.0,75.0,26.0,25.4,24.0,360.0,227.4,115.0,83.0,79.0,77.0,4.0,2.4,0.0
58,2017-11-14,健康路,30.0,1.0590000000000002,17.6,15.318,60.0,21.0,26.0,优,PM2.5,国控点,110.9067,21.6669,茂名,95.0,89.0,75.0,26.0,25.4,24.0,360.0,227.4,115.0,83.0,79.0,77.0,4.0,2.4,0.0
59,2017-11-14,高岭,39.0,1.067,21.25,19.75,51.0,27.0,39.0,优,PM10,国控点,110.8592,21.6828,茂名,95.0,89.0,75.0,26.0,25.4,24.0,360.0,227.4,115.0,83.0,79.0,77.0,4.0,2.4,0.0
60,2017-11-15,市环保局茂港分局,41.0,0.539,19.739,8.25,82.0,17.0,36.0,优,O3,国控点,111.0286,21.4689,茂名,105.0,85.0,70.0,26.0,25.4,25.0,436.0,250.6,112.0,83.0,79.6,77.0,0.0,0.0,0.0
61,2017-11-15,茂石化七小,43.0,0.8420000000000001,18.417,8.125,64.0,28.0,43.0,优,PM10,国控点,110.9294,21.6533,茂名,105.0,85.0,70.0,26.0,25.4,25.0,436.0,250.6,112.0,83.0,79.6,77.0,0.0,0.0,0.0
62,2017-11-15,健康路,41.0,1.05,14.375,13.25,70.0,28.0,37.0,优,PM2.5,国控点,110.9067,21.6669,茂名,105.0,85.0,70.0,26.0,25.4,25.0,436.0,250.6,112.0,83.0,79.6,77.0,0.0,0.0,0.0
63,2017-11-15,高岭,47.0,0.983,20.609,16.042,67.0,30.0,46.0,优,PM10,国控点,110.8592,21.6828,茂名,105.0,85.0,70.0,26.0,25.4,25.0,436.0,250.6,112.0,83.0,79.6,77.0,0.0,0.0,0.0
64,2017-11-16,市环保局茂港分局,69.0,0.517,16.75,3.75,122.0,21.0,43.0,良,O3,国控点,111.0286,21.4689,茂名,125.0,119.0,110.0,28.0,27.4,27.0,600.0,541.4,488.0,73.0,70.2,69.0,0.0,0.0,0.0
65,2017-11-16,茂石化七小,47.0,0.8079999999999999,16.391,6.875,89.0,27.0,46.0,优,PM10,国控点,110.9294,21.6533,茂名,125.0,119.0,110.0,28.0,27.4,27.0,600.0,541.4,488.0,73.0,70.2,69.0,0.0,0.0,0.0
66,2017-11-16,健康路,46.0,0.848,10.478,11.957,91.0,29.0,40.0,优,O3,国控点,110.9067,21.6669,茂名,125.0,119.0,110.0,28.0,27.4,27.0,600.0,541.4,488.0,73.0,70.2,69.0,0.0,0.0,0.0
67,2017-11-16,高岭,49.0,0.983,15.708,9.0,90.0,29.0,49.0,优,PM10,国控点,110.8592,21.6828,茂名,125.0,119.0,110.0,28.0,27.4,27.0,600.0,541.4,488.0,73.0,70.2,69.0,0.0,0.0,0.0
68,2017-11-17,市环保局茂港分局,49.0,0.488,15.417,2.0,97.0,19.0,44.0,优,O3,国控点,111.0286,21.4689,茂名,145.0,138.0,130.0,28.0,27.2,26.0,554.0,408.4,208.0,83.0,77.6,73.0,0.0,0.0,0.0
69,2017-11-17,茂石化七小,52.0,0.746,15.375,6.917000000000002,62.0,27.0,54.0,良,PM10,国控点,110.9294,21.6533,茂名,145.0,138.0,130.0,28.0,27.2,26.0,554.0,408.4,208.0,83.0,77.6,73.0,0.0,0.0,0.0
70,2017-11-17,健康路,42.0,0.645,10.864,11.455,67.0,28.0,42.0,优,PM10,国控点,110.9067,21.6669,茂名,145.0,138.0,130.0,28.0,27.2,26.0,554.0,408.4,208.0,83.0,77.6,73.0,0.0,0.0,0.0
71,2017-11-17,高岭,54.0,0.917,13.083,7.082999999999998,66.0,27.0,56.0,良,PM10,国控点,110.8592,21.6828,茂名,145.0,138.0,130.0,28.0,27.2,26.0,554.0,408.4,208.0,83.0,77.6,73.0,0.0,0.0,0.0
72,2017-11-18,市环保局茂港分局,34.0,0.642,18.875,5.75,53.0,15.0,33.0,优,PM10,国控点,111.0286,21.4689,茂名,75.0,54.0,35.0,29.0,27.4,26.0,499.0,326.4,113.0,82.0,75.8,68.0,3.0,1.8,0.0
73,2017-11-18,茂石化七小,50.0,1.088,20.292,16.417,46.0,27.0,49.0,优,PM10,国控点,110.9294,21.6533,茂名,75.0,54.0,35.0,29.0,27.4,26.0,499.0,326.4,113.0,82.0,75.8,68.0,3.0,1.8,0.0
74,2017-11-18,健康路,40.0,0.921,16.458,24.583,46.0,27.0,40.0,优,PM10,国控点,110.9067,21.6669,茂名,75.0,54.0,35.0,29.0,27.4,26.0,499.0,326.4,113.0,82.0,75.8,68.0,3.0,1.8,0.0
75,2017-11-18,高岭,51.0,1.171,17.625,24.417,49.0,27.0,52.0,良,PM10,国控点,110.8592,21.6828,茂名,75.0,54.0,35.0,29.0,27.4,26.0,499.0,326.4,113.0,82.0,75.8,68.0,3.0,1.8,0.0
76,2017-11-19,市环保局茂港分局,30.0,0.8420000000000001,16.5,4.417,60.0,11.0,24.0,优,O3,国控点,111.0286,21.4689,茂名,70.0,53.0,35.0,24.0,22.4,20.0,502.0,269.2,78.0,70.0,66.8,65.0,0.0,0.0,0.0
77,2017-11-19,茂石化七小,31.0,1.213,19.083,13.208,49.0,16.0,29.0,优,CO,国控点,110.9294,21.6533,茂名,70.0,53.0,35.0,24.0,22.4,20.0,502.0,269.2,78.0,70.0,66.8,65.0,0.0,0.0,0.0
78,2017-11-19,健康路,29.0,1.15,14.667,26.667,54.0,20.0,28.0,优,CO,国控点,110.9067,21.6669,茂名,70.0,53.0,35.0,24.0,22.4,20.0,502.0,269.2,78.0,70.0,66.8,65.0,0.0,0.0,0.0
79,2017-11-19,高岭,34.0,1.347,16.792,31.667,56.0,22.0,34.0,优,CO,国控点,110.8592,21.6828,茂名,70.0,53.0,35.0,24.0,22.4,20.0,502.0,269.2,78.0,70.0,66.8,65.0,0.0,0.0,0.0
80,2017-11-20,市环保局茂港分局,24.0,0.846,17.792,4.708,24.0,9.0,23.0,优,PM10,国控点,111.0286,21.4689,茂名,360.0,356.0,355.0,20.0,19.8,19.0,310.0,234.6,173.0,73.0,71.2,70.0,0.0,0.0,0.0
81,2017-11-20,茂石化七小,26.0,1.008,19.583,16.0,28.0,11.0,23.0,优,CO,国控点,110.9294,21.6533,茂名,360.0,356.0,355.0,20.0,19.8,19.0,310.0,234.6,173.0,73.0,71.2,70.0,0.0,0.0,0.0
82,2017-11-20,健康路,42.0,0.996,12.708,41.833,26.0,16.0,22.0,优,SO2,国控点,110.9067,21.6669,茂名,360.0,356.0,355.0,20.0,19.8,19.0,310.0,234.6,173.0,73.0,71.2,70.0,0.0,0.0,0.0
83,2017-11-20,高岭,39.0,0.804,14.044,38.217,19.0,18.0,25.0,优,SO2,国控点,110.8592,21.6828,茂名,360.0,356.0,355.0,20.0,19.8,19.0,310.0,234.6,173.0,73.0,71.2,70.0,0.0,0.0,0.0
84,2017-11-21,市环保局茂港分局,32.0,0.743,17.046,6.381,64.0,14.0,27.0,优,O3,国控点,111.0286,21.4689,茂名,335.0,318.0,310.0,18.0,18.0,18.0,110.0,86.4,52.0,78.0,74.6,71.0,0.0,0.0,0.0
85,2017-11-21,茂石化七小,29.0,0.943,12.957,17.375,55.0,14.0,29.0,优,PM10,国控点,110.9294,21.6533,茂名,335.0,318.0,310.0,18.0,18.0,18.0,110.0,86.4,52.0,78.0,74.6,71.0,0.0,0.0,0.0
86,2017-11-21,健康路,38.0,0.8540000000000001,10.458,37.333,55.0,17.0,24.0,优,SO2,国控点,110.9067,21.6669,茂名,335.0,318.0,310.0,18.0,18.0,18.0,110.0,86.4,52.0,78.0,74.6,71.0,0.0,0.0,0.0
87,2017-11-21,高岭,31.0,0.679,11.375,30.875,43.0,15.0,24.0,优,SO2,国控点,110.8592,21.6828,茂名,335.0,318.0,310.0,18.0,18.0,18.0,110.0,86.4,52.0,78.0,74.6,71.0,0.0,0.0,0.0
88,2017-11-22,市环保局茂港分局,39.0,0.757,17.261,7.87,46.0,17.0,38.0,优,PM10,国控点,111.0286,21.4689,茂名,340.0,322.0,300.0,22.0,21.2,20.0,339.0,287.0,202.0,68.0,65.6,64.0,0.0,0.0,0.0
89,2017-11-22,茂石化七小,27.0,0.908,3.708,18.0,43.0,15.0,26.0,优,PM10,国控点,110.9294,21.6533,茂名,340.0,322.0,300.0,22.0,21.2,20.0,339.0,287.0,202.0,68.0,65.6,64.0,0.0,0.0,0.0
90,2017-11-22,健康路,28.0,0.888,8.25,27.792,46.0,19.0,23.0,优,SO2,国控点,110.9067,21.6669,茂名,340.0,322.0,300.0,22.0,21.2,20.0,339.0,287.0,202.0,68.0,65.6,64.0,0.0,0.0,0.0
91,2017-11-22,高岭,31.0,0.633,7.375,20.083,42.0,18.0,31.0,优,PM10,国控点,110.8592,21.6828,茂名,340.0,322.0,300.0,22.0,21.2,20.0,339.0,287.0,202.0,68.0,65.6,64.0,0.0,0.0,0.0
92,2017-11-23,市环保局茂港分局,49.0,0.613,12.917,6.832999999999998,73.0,25.0,49.0,优,PM10,国控点,111.0286,21.4689,茂名,345.0,339.0,330.0,17.0,16.6,16.0,204.0,162.0,120.0,62.0,57.8,55.0,0.0,0.0,0.0
93,2017-11-23,茂石化七小,48.0,0.867,4.0,18.708,67.0,28.0,47.0,优,PM10,国控点,110.9294,21.6533,茂名,345.0,339.0,330.0,17.0,16.6,16.0,204.0,162.0,120.0,62.0,57.8,55.0,0.0,0.0,0.0
94,2017-11-23,健康路,47.0,0.8740000000000001,8.696,29.957,66.0,33.0,47.0,优,PM10,国控点,110.9067,21.6669,茂名,345.0,339.0,330.0,17.0,16.6,16.0,204.0,162.0,120.0,62.0,57.8,55.0,0.0,0.0,0.0
95,2017-11-23,高岭,51.0,0.5539999999999999,8.458,26.042,65.0,30.0,51.0,良,PM10,国控点,110.8592,21.6828,茂名,345.0,339.0,330.0,17.0,16.6,16.0,204.0,162.0,120.0,62.0,57.8,55.0,0.0,0.0,0.0
96,2017-11-24,市环保局茂港分局,57.0,0.682,13.182,6.818,90.0,34.0,63.0,良,PM10,国控点,111.0286,21.4689,茂名,340.0,331.0,325.0,16.0,15.0,14.0,140.0,109.6,76.0,73.0,72.2,71.0,0.0,0.0,0.0
97,2017-11-24,茂石化七小,51.0,0.946,4.958,17.458,74.0,35.0,51.0,良,PM10,国控点,110.9294,21.6533,茂名,340.0,331.0,325.0,16.0,15.0,14.0,140.0,109.6,76.0,73.0,72.2,71.0,0.0,0.0,0.0
98,2017-11-24,健康路,54.0,0.917,9.0,20.208,78.0,38.0,49.0,良,PM2.5,国控点,110.9067,21.6669,茂名,340.0,331.0,325.0,16.0,15.0,14.0,140.0,109.6,76.0,73.0,72.2,71.0,0.0,0.0,0.0
99,2017-11-24,高岭,52.0,0.625,9.333,25.417,68.0,33.0,52.0,良,PM10,国控点,110.8592,21.6828,茂名,340.0,331.0,325.0,16.0,15.0,14.0,140.0,109.6,76.0,73.0,72.2,71.0,0.0,0.0,0.0
100,2017-11-25,市环保局茂港分局,52.0,0.667,16.708,10.5,56.0,29.0,54.0,良,PM10,国控点,111.0286,21.4689,茂名,335.0,311.0,300.0,19.0,18.6,18.0,333.0,261.0,173.0,72.0,68.6,63.0,0.0,0.0,0.0
101,2017-11-25,茂石化七小,41.0,1.008,5.875,24.292,48.0,25.0,41.0,优,PM10,国控点,110.9294,21.6533,茂名,335.0,311.0,300.0,19.0,18.6,18.0,333.0,261.0,173.0,72.0,68.6,63.0,0.0,0.0,0.0
102,2017-11-25,健康路,41.0,0.963,10.333,30.458,54.0,28.0,39.0,优,PM2.5,国控点,110.9067,21.6669,茂名,335.0,311.0,300.0,19.0,18.6,18.0,333.0,261.0,173.0,72.0,68.6,63.0,0.0,0.0,0.0
103,2017-11-25,高岭,38.0,0.608,9.375,28.708,50.0,26.0,37.0,优,PM10,国控点,110.8592,21.6828,茂名,335.0,311.0,300.0,19.0,18.6,18.0,333.0,261.0,173.0,72.0,68.6,63.0,0.0,0.0,0.0
104,2017-11-26,市环保局茂港分局,55.0,0.804,25.958,15.625,52.0,32.0,58.0,良,PM10,国控点,111.0286,21.4689,茂名,350.0,346.0,340.0,24.0,22.2,19.0,590.0,384.4,198.0,71.0,64.2,61.0,0.0,0.0,0.0
105,2017-11-26,茂石化七小,45.0,1.317,10.696,37.435,42.0,27.0,45.0,优,PM10,国控点,110.9294,21.6533,茂名,350.0,346.0,340.0,24.0,22.2,19.0,590.0,384.4,198.0,71.0,64.2,61.0,0.0,0.0,0.0
106,2017-11-26,健康路,43.0,1.054,13.375,38.833,46.0,30.0,42.0,优,PM10,国控点,110.9067,21.6669,茂名,350.0,346.0,340.0,24.0,22.2,19.0,590.0,384.4,198.0,71.0,64.2,61.0,0.0,0.0,0.0
