time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,睦岗子站,88.0,1.425,53.708,18.0,145.0,50.0,72.0,良,O3,国控点,112.427,23.0706,肇庆
2017-10-31,城中子站,96.0,0.996,39.546,13.652,155.0,47.0,78.0,良,O3,国控点,112.471,23.0528,肇庆
2017-10-31,坑口子站,84.0,0.708,34.917,17.083,140.0,50.0,79.0,良,O3,国控点,112.565,23.1617,肇庆
2017-10-31,七星岩子站,110.0,0.438,25.375,23.417,171.0,47.0,91.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆
2017-11-01,睦岗子站,100.0,1.267,72.667,16.957,159.0,61.0,85.0,良,O3,国控点,112.427,23.0706,肇庆
2017-11-01,城中子站,107.0,1.248,70.913,17.261,167.0,71.0,106.0,轻度污染,O3,国控点,112.471,23.0528,肇庆
2017-11-01,坑口子站,90.0,0.796,39.333,18.958,147.0,55.0,86.0,良,O3,国控点,112.565,23.1617,肇庆
2017-11-01,七星岩子站,117.0,0.571,32.913,26.958,178.0,59.0,100.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆
2017-11-02,睦岗子站,115.0,1.013,77.458,15.667,176.0,69.0,90.0,轻度污染,O3,国控点,112.427,23.0706,肇庆
2017-11-02,城中子站,115.0,1.404,76.75,20.5,176.0,75.0,112.0,轻度污染,O3,国控点,112.471,23.0528,肇庆
2017-11-02,坑口子站,95.0,0.821,48.958,16.75,153.0,66.0,97.0,良,O3,国控点,112.565,23.1617,肇庆
2017-11-02,七星岩子站,133.0,0.621,35.125,22.167,196.0,68.0,106.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆
2017-11-03,睦岗子站,89.0,0.788,51.125,13.958,146.0,52.0,68.0,良,O3,国控点,112.427,23.0706,肇庆
2017-11-03,城中子站,92.0,1.048,41.391,18.522,150.0,50.0,74.0,良,O3,国控点,112.471,23.0528,肇庆
2017-11-03,坑口子站,75.0,0.717,50.333,16.667,130.0,51.0,82.0,良,O3,国控点,112.565,23.1617,肇庆
2017-11-03,七星岩子站,97.0,0.483,24.75,20.042,156.0,48.0,85.0,良,O3,国控点,112.4722,23.0786,肇庆
2017-11-04,睦岗子站,98.0,0.725,30.167,13.458,157.0,44.0,65.0,良,O3,国控点,112.427,23.0706,肇庆
2017-11-04,城中子站,100.0,0.967,20.917,17.167,160.0,46.0,82.0,良,O3,国控点,112.471,23.0528,肇庆
2017-11-04,坑口子站,82.0,0.7,41.083,16.083,138.0,50.0,90.0,良,O3,国控点,112.565,23.1617,肇庆
2017-11-04,七星岩子站,105.0,0.463,14.208,18.542,165.0,45.0,85.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆
2017-11-05,睦岗子站,98.0,0.921,37.083,12.792,157.0,68.0,90.0,良,O3,国控点,112.427,23.0706,肇庆
2017-11-05,城中子站,107.0,1.13,20.87,15.913,167.0,71.0,103.0,轻度污染,O3,国控点,112.471,23.0528,肇庆
2017-11-05,坑口子站,98.0,0.854,32.583,15.625,140.0,73.0,110.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-05,七星岩子站,108.0,0.646,20.542,17.417,168.0,73.0,119.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆
2017-11-06,睦岗子站,98.0,0.942,40.375,14.292,101.0,73.0,82.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-06,城中子站,92.0,1.171,28.542,17.917,102.0,68.0,86.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-06,坑口子站,94.0,0.8,37.727,16.348,83.0,70.0,90.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-06,七星岩子站,97.0,0.717,27.958,21.792,110.0,72.0,98.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-07,睦岗子站,49.0,0.954,36.292,5.208,62.0,34.0,45.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-07,城中子站,53.0,0.981,24.909,7.476,76.0,32.0,56.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-07,坑口子站,56.0,0.571,32.583,7.583,66.0,36.0,61.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-11-07,七星岩子站,69.0,0.667,20.375,8.375,84.0,31.0,88.0,良,PM10,国控点,112.4722,23.0786,肇庆
2017-11-08,睦岗子站,45.0,0.973,35.727,9.682,18.0,25.0,35.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-08,城中子站,37.0,0.833,29.5,9.208,20.0,22.0,35.0,优,NO2,国控点,112.471,23.0528,肇庆
2017-11-08,坑口子站,42.0,0.471,33.375,9.708,26.0,28.0,37.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-08,七星岩子站,32.0,0.588,21.083,11.087,40.0,21.0,32.0,优,PM10,国控点,112.4722,23.0786,肇庆
2017-11-09,睦岗子站,57.0,1.121,38.083,12.833,77.0,40.0,55.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-09,城中子站,60.0,0.94,37.783,16.304,72.0,42.0,70.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-09,坑口子站,69.0,0.529,39.125,15.542,80.0,50.0,62.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-09,七星岩子站,63.0,0.7,27.75,18.75,98.0,45.0,62.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-10,睦岗子站,72.0,1.258,47.667,10.417,67.0,52.0,67.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-10,城中子站,72.0,1.05,53.083,17.625,65.0,52.0,82.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-10,坑口子站,70.0,0.554,34.333,14.375,71.0,50.0,70.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-10,七星岩子站,66.0,0.767,29.083,15.333,85.0,48.0,68.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-11,睦岗子站,78.0,1.204,40.042,11.542,104.0,57.0,70.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-11,城中子站,80.0,0.933,32.583,21.0,105.0,59.0,84.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-11,坑口子站,72.0,0.567,40.042,14.417,95.0,52.0,79.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-11,七星岩子站,68.0,0.817,27.542,17.958,121.0,49.0,73.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-12,睦岗子站,92.0,1.292,45.583,22.042,116.0,68.0,81.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-12,城中子站,89.0,1.009,39.304,36.044,124.0,66.0,94.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-12,坑口子站,95.0,0.717,44.833,21.833,119.0,71.0,96.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-12,七星岩子站,89.0,1.0,31.792,27.167,146.0,56.0,90.0,良,O3,国控点,112.4722,23.0786,肇庆
2017-11-13,睦岗子站,83.0,1.233,45.75,10.708,40.0,61.0,109.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-13,城中子站,76.0,1.035,44.182,18.739,36.0,53.0,101.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-13,坑口子站,98.0,0.782,55.261,14.409,29.0,73.0,126.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-13,七星岩子站,77.0,0.887,43.13,15.5,41.0,56.0,87.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-14,睦岗子站,49.0,1.2,37.083,7.875,26.0,34.0,46.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-14,城中子站,54.0,0.991,32.0,11.909,29.0,36.0,56.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-14,坑口子站,67.0,0.954,39.708,10.583,20.0,48.0,47.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-14,七星岩子站,51.0,0.608,29.0,12.042,34.0,36.0,50.0,良,PM10,国控点,112.4722,23.0786,肇庆
2017-11-15,睦岗子站,43.0,1.25,34.182,7.046,22.0,28.0,29.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-15,城中子站,33.0,1.07,25.87,9.348,35.0,23.0,28.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-15,坑口子站,44.0,1.108,35.042,8.667,19.0,29.0,25.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-15,七星岩子站,34.0,0.729,26.75,9.044,32.0,18.0,22.0,优,NO2,国控点,112.4722,23.0786,肇庆
2017-11-16,睦岗子站,100.0,1.238,64.417,14.292,35.0,74.0,94.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-16,城中子站,93.0,1.388,63.375,24.0,40.0,69.0,101.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-16,坑口子站,104.0,1.371,59.0,19.208,17.0,78.0,96.0,轻度污染,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-16,七星岩子站,87.0,0.796,52.125,18.75,57.0,64.0,96.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-17,睦岗子站,89.0,1.158,63.458,20.458,45.0,66.0,98.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-17,城中子站,78.0,1.235,55.044,39.87,56.0,57.0,96.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-17,坑口子站,100.0,1.371,66.0,16.833,24.0,75.0,115.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-11-17,七星岩子站,81.0,0.663,49.417,27.583,53.0,60.0,90.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-18,睦岗子站,55.0,1.208,34.792,9.042,44.0,31.0,59.0,良,PM10,国控点,112.427,23.0706,肇庆
2017-11-18,城中子站,55.0,1.121,30.458,14.75,45.0,26.0,58.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-18,坑口子站,50.0,1.046,34.417,10.833,41.0,20.0,50.0,优,PM10,国控点,112.565,23.1617,肇庆
2017-11-18,七星岩子站,42.0,0.754,25.042,15.208,60.0,23.0,42.0,优,PM10,国控点,112.4722,23.0786,肇庆
2017-11-19,睦岗子站,37.0,1.088,29.125,6.25,29.0,10.0,20.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-19,城中子站,25.0,0.986,19.81,8.143,36.0,12.0,20.0,优,CO,国控点,112.471,23.0528,肇庆
2017-11-19,坑口子站,37.0,1.017,28.917,9.375,30.0,8.0,18.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-19,七星岩子站,26.0,0.738,20.125,8.833,33.0,7.0,17.0,优,NO2,国控点,112.4722,23.0786,肇庆
2017-11-20,睦岗子站,34.0,0.933,26.75,6.292,17.0,12.0,15.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-20,城中子站,23.0,0.875,18.333,7.417,22.0,13.0,17.0,优,NO2,国控点,112.471,23.0528,肇庆
2017-11-20,坑口子站,34.0,0.896,26.565,7.783,16.0,8.0,20.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-20,七星岩子站,21.0,0.577,16.364,7.455,22.0,11.0,13.0,优,NO2,国控点,112.4722,23.0786,肇庆
2017-11-21,睦岗子站,27.0,0.746,21.208,7.125,34.0,11.0,16.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-21,城中子站,27.0,0.804,19.286,8.348,21.0,16.0,27.0,优,PM10,国控点,112.471,23.0528,肇庆
2017-11-21,坑口子站,31.0,0.8,24.667,8.042,26.0,11.0,21.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-21,七星岩子站,22.0,0.442,16.917,7.833,30.0,10.0,19.0,优,NO2,国控点,112.4722,23.0786,肇庆
2017-11-22,睦岗子站,25.0,0.813,19.913,10.125,43.0,13.0,20.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-22,城中子站,24.0,0.833,14.875,8.083,41.0,16.0,23.0,优,PM10,国控点,112.471,23.0528,肇庆
2017-11-22,坑口子站,27.0,0.817,21.333,7.5,38.0,14.0,22.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-22,七星岩子站,25.0,0.454,13.087,7.833,49.0,17.0,19.0,优,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-23,睦岗子站,42.0,0.758,19.042,7.833,79.0,29.0,40.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-23,城中子站,45.0,0.674,12.609,10.391,83.0,30.0,44.0,优,PM10,国控点,112.471,23.0528,肇庆
2017-11-23,坑口子站,46.0,0.721,23.25,10.125,78.0,30.0,45.0,优,PM10,国控点,112.565,23.1617,肇庆
2017-11-23,七星岩子站,46.0,0.304,12.667,10.958,91.0,30.0,43.0,优,O3,国控点,112.4722,23.0786,肇庆
2017-11-24,睦岗子站,41.0,0.846,31.583,6.792,64.0,29.0,34.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-24,城中子站,39.0,0.679,17.042,8.667,77.0,27.0,36.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-24,坑口子站,39.0,0.725,29.875,8.542,77.0,23.0,36.0,优,O3,国控点,112.565,23.1617,肇庆
2017-11-24,七星岩子站,42.0,0.354,21.833,9.167,83.0,28.0,39.0,优,O3,国控点,112.4722,23.0786,肇庆
2017-11-25,睦岗子站,45.0,0.875,29.833,6.875,46.0,31.0,36.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-25,城中子站,47.0,0.689,19.444,9.0,56.0,33.0,38.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-25,坑口子站,37.0,0.729,28.083,8.5,51.0,25.0,36.0,优,PM10,国控点,112.565,23.1617,肇庆
2017-11-25,七星岩子站,45.0,0.325,21.292,9.208,57.0,31.0,37.0,优,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-26,睦岗子站,30.0,0.929,23.833,8.292,30.0,20.0,26.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-11-26,城中子站,36.0,0.807,23.533,9.8,28.0,25.0,33.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-26,坑口子站,27.0,0.743,20.929,7.071,31.0,13.0,23.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-11-26,七星岩子站,33.0,0.471,24.75,9.25,28.0,23.0,32.0,优,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-27,睦岗子站,58.0,1.146,46.333,14.167,58.0,35.0,51.0,良,NO2,国控点,112.427,23.0706,肇庆
2017-11-27,城中子站,55.0,0.933,39.292,20.0,56.0,36.0,58.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-27,坑口子站,60.0,0.908,41.571,17.692,48.0,40.0,69.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-11-27,七星岩子站,49.0,0.513,35.364,20.417,72.0,34.0,35.0,优,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-28,睦岗子站,84.0,1.146,47.417,9.917,68.0,62.0,70.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-28,城中子站,85.0,1.078,53.565,15.044,62.0,63.0,76.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-11-28,坑口子站,59.0,0.988,46.458,11.083,68.0,30.0,62.0,良,NO2,国控点,112.565,23.1617,肇庆
2017-11-28,七星岩子站,72.0,0.625,54.174,15.0,82.0,52.0,50.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-11-29,睦岗子站,56.0,1.158,44.708,11.261,50.0,37.0,59.0,良,NO2,国控点,112.427,23.0706,肇庆
2017-11-29,城中子站,59.0,1.067,46.667,15.208,51.0,36.0,55.0,良,NO2,国控点,112.471,23.0528,肇庆
2017-11-29,坑口子站,54.0,0.942,38.958,13.917,39.0,28.0,57.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-11-29,七星岩子站,50.0,0.591,38.833,17.478,59.0,34.0,49.0,优,PM10,国控点,112.4722,23.0786,肇庆
2017-11-30,睦岗子站,55.0,1.163,37.042,12.333,24.0,39.0,54.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-11-30,城中子站,54.0,1.175,35.292,18.542,38.0,37.0,57.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-11-30,坑口子站,54.0,0.95,33.65,15.75,31.0,31.0,57.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-11-30,七星岩子站,50.0,0.779,34.652,21.917,39.0,33.0,50.0,优,PM10,国控点,112.4722,23.0786,肇庆
2017-12-01,睦岗子站,34.0,1.054,24.125,8.083,68.0,18.0,30.0,优,O3,国控点,112.427,23.0706,肇庆
2017-12-01,城中子站,38.0,1.079,16.682,10.696,76.0,15.0,26.0,优,O3,国控点,112.471,23.0528,肇庆
2017-12-01,坑口子站,35.0,0.986,27.571,13.643,63.0,14.0,35.0,优,PM10,国控点,112.565,23.1617,肇庆
2017-12-01,七星岩子站,40.0,0.821,18.375,10.667,80.0,15.0,29.0,优,O3,国控点,112.4722,23.0786,肇庆
2017-12-02,睦岗子站,39.0,0.888,31.042,11.292,71.0,18.0,34.0,优,NO2,国控点,112.427,23.0706,肇庆
2017-12-02,城中子站,38.0,0.913,23.458,13.667,75.0,17.0,36.0,优,O3,国控点,112.471,23.0528,肇庆
2017-12-02,坑口子站,39.0,0.825,30.667,13.417,72.0,19.0,37.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-12-02,七星岩子站,42.0,0.654,25.875,16.625,84.0,19.0,36.0,优,O3,国控点,112.4722,23.0786,肇庆
2017-12-03,睦岗子站,47.0,0.954,35.875,16.708,63.0,32.0,46.0,优,PM10,国控点,112.427,23.0706,肇庆
2017-12-03,城中子站,52.0,1.05,41.261,22.0,49.0,33.0,54.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-12-03,坑口子站,54.0,0.879,41.542,22.458,43.0,32.0,56.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-12-03,七星岩子站,54.0,0.738,37.625,23.792,51.0,35.0,56.0,良,PM10,国控点,112.4722,23.0786,肇庆
2017-12-04,睦岗子站,43.0,0.938,28.125,10.375,55.0,30.0,38.0,优,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-04,城中子站,42.0,0.988,21.792,12.708,56.0,29.0,38.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-04,坑口子站,41.0,0.846,28.958,11.792,46.0,26.0,41.0,优,PM10,国控点,112.565,23.1617,肇庆
2017-12-04,七星岩子站,41.0,0.708,22.417,12.75,66.0,28.0,40.0,优,PM10,国控点,112.4722,23.0786,肇庆
2017-12-05,睦岗子站,49.0,0.933,31.208,10.25,83.0,33.0,49.0,优,PM10,国控点,112.427,23.0706,肇庆
2017-12-05,城中子站,50.0,0.987,21.0,13.478,92.0,34.0,50.0,优,PM10,国控点,112.471,23.0528,肇庆
2017-12-05,坑口子站,52.0,0.867,32.375,11.833,80.0,35.0,53.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-12-05,七星岩子站,52.0,0.688,24.75,13.583,102.0,35.0,50.0,良,O3,国控点,112.4722,23.0786,肇庆
2017-12-06,睦岗子站,85.0,1.138,63.826,20.083,74.0,63.0,84.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-06,城中子站,90.0,1.088,47.333,28.083,92.0,66.0,91.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-06,坑口子站,83.0,0.896,50.042,23.167,78.0,61.0,88.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-06,七星岩子站,90.0,0.642,40.333,25.875,105.0,67.0,88.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-07,睦岗子站,106.0,1.317,73.792,17.958,72.0,80.0,98.0,轻度污染,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-07,城中子站,107.0,1.32,68.619,24.333,76.0,80.0,106.0,轻度污染,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-07,坑口子站,87.0,0.992,61.875,21.958,62.0,64.0,100.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-07,七星岩子站,105.0,0.613,55.167,27.542,93.0,79.0,101.0,轻度污染,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-08,睦岗子站,94.0,1.188,28.958,12.958,101.0,70.0,79.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-08,城中子站,93.0,1.125,27.833,15.792,105.0,69.0,85.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-08,坑口子站,90.0,0.963,31.292,14.5,87.0,66.0,90.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-08,七星岩子站,95.0,0.575,20.292,16.042,121.0,71.0,81.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-09,睦岗子站,104.0,1.367,57.875,19.292,100.0,78.0,99.0,轻度污染,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-09,城中子站,104.0,1.167,52.783,32.957,110.0,78.0,108.0,轻度污染,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-09,坑口子站,95.0,0.983,41.125,23.0,96.0,71.0,98.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-09,七星岩子站,96.0,0.579,35.625,29.083,115.0,71.0,94.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-10,睦岗子站,111.0,1.429,64.167,24.75,119.0,84.0,112.0,轻度污染,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-10,城中子站,132.0,1.396,81.292,38.958,80.0,100.0,132.0,轻度污染,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-10,坑口子站,100.0,1.046,58.958,26.5,85.0,74.0,113.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-10,七星岩子站,123.0,0.671,62.083,34.583,112.0,93.0,113.0,轻度污染,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-11,睦岗子站,86.0,1.579,60.375,20.25,86.0,63.0,94.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-11,城中子站,81.0,1.175,52.318,26.5,99.0,60.0,91.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-11,坑口子站,78.0,0.963,47.25,21.25,84.0,57.0,91.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-11,七星岩子站,79.0,0.633,42.583,26.042,106.0,58.0,92.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-12,睦岗子站,88.0,1.758,69.875,24.292,81.0,60.0,91.0,良,NO2,国控点,112.427,23.0706,肇庆
2017-12-12,城中子站,75.0,1.138,49.583,30.375,98.0,55.0,91.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-12,坑口子站,82.0,0.983,63.087,27.478,81.0,60.0,107.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-12,七星岩子站,79.0,0.629,47.0,35.708,106.0,58.0,102.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-13,睦岗子站,105.0,1.647,61.75,27.458,69.0,79.0,96.0,轻度污染,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-13,城中子站,110.0,1.263,56.739,38.522,72.0,83.0,114.0,轻度污染,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-13,坑口子站,103.0,1.087,55.826,32.087,68.0,77.0,112.0,轻度污染,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-13,七星岩子站,117.0,0.667,48.174,41.083,89.0,88.0,118.0,轻度污染,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-14,睦岗子站,106.0,0.986,51.455,13.292,18.0,80.0,83.0,轻度污染,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-14,城中子站,97.0,1.304,41.042,19.042,31.0,73.0,72.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-14,坑口子站,86.0,1.267,53.222,19.111,17.0,63.0,87.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-14,七星岩子站,100.0,0.646,43.833,20.292,32.0,74.0,76.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-15,睦岗子站,54.0,1.054,34.458,8.417,16.0,38.0,50.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-15,城中子站,47.0,1.383,32.913,11.261,13.0,32.0,42.0,优,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-15,坑口子站,38.0,1.17,29.8,9.0,12.0,12.0,19.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-12-15,七星岩子站,46.0,0.738,36.583,12.875,15.0,27.0,41.0,优,NO2,国控点,112.4722,23.0786,肇庆
2017-12-16,睦岗子站,36.0,1.05,21.583,6.333,71.0,15.0,22.0,优,O3,国控点,112.427,23.0706,肇庆
2017-12-16,城中子站,33.0,1.204,20.333,8.208,66.0,13.0,23.0,优,O3,国控点,112.471,23.0528,肇庆
2017-12-16,坑口子站,30.0,0.983,23.75,7.792,56.0,12.0,22.0,优,NO2,国控点,112.565,23.1617,肇庆
2017-12-16,七星岩子站,40.0,0.467,18.125,9.083,79.0,11.0,18.0,优,O3,国控点,112.4722,23.0786,肇庆
2017-12-17,睦岗子站,51.0,1.004,29.042,10.042,69.0,33.0,51.0,良,PM10,国控点,112.427,23.0706,肇庆
2017-12-17,城中子站,50.0,1.004,20.304,13.565,78.0,35.0,50.0,优,PM10,国控点,112.471,23.0528,肇庆
2017-12-17,坑口子站,56.0,0.921,34.792,13.125,69.0,39.0,57.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-17,七星岩子站,53.0,0.317,21.667,13.75,89.0,37.0,49.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-18,睦岗子站,68.0,0.75,43.542,11.167,86.0,49.0,69.0,良,PM2.5,国控点,112.427,23.0706,肇庆
2017-12-18,城中子站,72.0,1.038,31.857,16.048,95.0,52.0,69.0,良,PM2.5,国控点,112.471,23.0528,肇庆
2017-12-18,坑口子站,67.0,0.939,35.917,12.917,114.0,48.0,69.0,良,PM2.5,国控点,112.565,23.1617,肇庆
2017-12-18,七星岩子站,73.0,0.263,32.875,15.375,102.0,53.0,65.0,良,PM2.5,国控点,112.4722,23.0786,肇庆
2017-12-19,睦岗子站,50.0,0.542,25.458,11.875,99.0,33.0,47.0,优,O3,国控点,112.427,23.0706,肇庆
2017-12-19,城中子站,52.0,0.838,26.826,14.913,93.0,33.0,53.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-12-19,坑口子站,51.0,0.875,31.875,13.75,94.0,32.0,52.0,良,PM10,国控点,112.565,23.1617,肇庆
2017-12-19,七星岩子站,60.0,0.196,22.542,15.417,111.0,33.0,47.0,良,O3,国控点,112.4722,23.0786,肇庆
2017-12-20,睦岗子站,59.0,0.758,46.667,13.652,89.0,36.0,57.0,良,NO2,国控点,112.427,23.0706,肇庆
2017-12-20,城中子站,54.0,0.796,35.667,18.333,92.0,31.0,56.0,良,PM10,国控点,112.471,23.0528,肇庆
2017-12-20,坑口子站,53.0,0.896,42.292,13.917,88.0,29.0,53.0,良,NO2,国控点,112.565,23.1617,肇庆
2017-12-20,七星岩子站,57.0,0.335,34.5,17.375,108.0,30.0,55.0,良,O3,国控点,112.4722,23.0786,肇庆
2017-12-21,睦岗子站,82.0,0.879,65.5,13.792,79.0,38.0,65.0,良,NO2,国控点,112.427,23.0706,肇庆
2017-12-21,城中子站,71.0,0.746,56.044,19.957,93.0,33.0,65.0,良,NO2,国控点,112.471,23.0528,肇庆
2017-12-21,坑口子站,64.0,0.95,50.583,18.833,88.0,35.0,65.0,良,NO2,国控点,112.565,23.1617,肇庆
2017-12-21,七星岩子站,60.0,0.418,47.727,22.546,96.0,35.0,65.0,良,NO2,国控点,112.4722,23.0786,肇庆
2017-12-22,睦岗子站,96.0,1.155,76.522,19.955,90.0,52.0,82.0,良,NO2,国控点,112.427,23.0706,肇庆
